Route ID,Direction,Route Length (miles),Stops per Mile,Mean Stop Spacing (ft),Stop Spacing Std Dev (ft),% Bus Lane Coverage,Stop Signs per Mile,Street Lights per Mile,Right Angle Turns,Curvature per Mile,Borough,Type
B65,E,4.603425032235007,7.16857552125231,759.5607469782127,277.4411439972838,3.0252638407806542,0.43445912250014,9.99255981750322,10.0,111.90637357494886,Brooklyn,Local
B65,W,4.287090464147337,7.23101139554927,754.5279216899312,254.3915391031096,0.968136420283896,0.2332584321144925,8.863820420350718,10.0,111.90637357494886,Brooklyn,Local
B67,S,6.987082000090135,6.154214305692317,878.3760228684741,465.2137420550534,12.646337139636673,1.2880913663076945,11.449701033846171,22.0,179.60576433271663,Brooklyn,Local
B68,N,7.58063624133062,6.727667490749831,800.5136668763778,279.5255817582053,0.0857762764476514,0.131915048838232,8.70639322332331,7.0,62.42348221207183,Brooklyn,Local
B68,S,7.596667507332316,6.581833409418,818.5767609727817,253.6016153058344,0.0855767391833319,0.13163666818836,8.42474676405504,7.0,62.42348221207183,Brooklyn,Local
B69,N,6.410492131679873,7.019741866246972,769.235845576179,258.7687562547984,1.185467317125751,0.1559942636943771,12.167552568161415,15.0,123.89223451856375,Brooklyn,Local
B7,N,6.963429879065997,7.467584351833057,720.9167768601329,304.42947095788287,20.19013100356968,0.5744295655256197,10.483339570842562,15.0,127.52636041396748,Brooklyn,Local
B7,S,6.62995524717145,7.541529035408133,714.4080443345558,347.0904361926501,21.27931242892263,1.0558140649571386,10.70897123027955,15.0,127.52636041396748,Brooklyn,Local
B70,S,4.425097184746394,7.2314795955908355,753.6939721116439,255.18331679853011,0.0,0.2259837373622136,12.42910555492175,16.0,171.42587409465207,Brooklyn,Local
B8,E,10.070777900564412,7.745181233281744,690.5653469632064,232.7954842821395,1.7963675047200298,0.4964859764924194,12.114257826415034,27.0,132.98397653622175,Brooklyn,Local
B82,E,10.44694019137726,6.891970154038755,776.7791619231466,303.54686081783365,17.977534122238357,0.0957218076949827,13.209609461907617,22.0,109.9832811113654,Brooklyn,Local
B82,W,10.526085637165508,7.505164096429803,712.284080890374,230.01955731720912,19.82741218891363,0.0950020771699975,13.585297035309644,22.0,109.9832811113654,Brooklyn,Local
B82+,E,8.93478880899831,2.574207459367868,2144.349314159594,698.7914014706154,24.82810791392128,0.1119220634507768,13.542569677544003,15.0,94.4157492645194,Brooklyn,SBS
B82+,W,9.003092706811872,2.554677681214797,2159.8508497815983,633.8727267898836,25.190076695672754,0.1110729426615129,13.7730448900276,15.0,94.4157492645194,Brooklyn,SBS
B84,N,2.251284206488319,5.774481943476226,990.5650508548604,537.1092430970922,0.0,1.7767636749157616,6.6628637809341065,17.0,366.0383317962057,Brooklyn,Local
B84,S,2.19597059206589,5.919933557839711,966.2149760877728,439.6545369111661,0.0,1.821518017796834,4.553795044492085,17.0,366.0383317962057,Brooklyn,Local
B9,W,8.028796709734522,6.850341587714532,785.0368361049865,188.24991896242148,2.626831504823305,0.2491033304623466,10.46233987941856,18.0,107.21574489281396,Brooklyn,Local
B93,E,1.9670136652978067,3.050309261116189,2077.166430554484,874.2755485926216,31.42818404585892,0.5083848768526982,16.26831605928634,5.0,123.85092516234262,Brooklyn,Local
B93,W,2.5864297920796746,2.3198000650833714,2731.23084557227,1311.1449719573995,14.05474399964744,0.3866333441805619,11.212366981236295,5.0,123.85092516234262,Brooklyn,Local
B96,N,3.243432533704572,2.7748380478012944,2140.6554618897394,772.0054989393404,8.405488140701712,0.3083153386445882,12.024298207138942,4.0,57.94541697142963,Brooklyn,Local
B96,S,2.938795709855461,3.0624789500739564,1939.581224623118,531.6323497012047,87.4090288472067,0.3402754388971063,12.249915800295826,4.0,57.94541697142963,Brooklyn,Local
B98,N,5.155073126185893,2.1338203611747057,2721.8786106261514,1439.8304363774737,0.1205794496183951,0.5819510075931015,11.05706914426893,8.0,137.3040497859305,Brooklyn,Local
B98,S,4.573736655236372,2.1863961031843004,2683.246391453697,1745.7677971625285,15.11287132873088,0.6559188309552901,10.713340905603072,8.0,137.3040497859305,Brooklyn,Local
B99,E,3.561632838382071,2.2461607815908757,2686.477325829233,2023.0327308602216,0.1745225483387274,1.403850488494297,8.703873028664642,17.0,198.9195590490814,Brooklyn,Local
B99,W,3.912576256182835,2.0446885827101844,2951.1544010689354,2307.303299924982,0.1588674017377221,1.0223442913550922,7.923168258001964,17.0,198.9195590490814,Brooklyn,Local
BX10,N,7.3097510961047485,5.335338985862664,1015.6697586863498,396.5865001138376,0.0940736562643444,0.8208213824404097,7.25058887822362,20.0,159.00804416622864,Bronx,Local
BX11,E,4.969619428440997,5.634234251370791,971.8366882284616,534.0240248144604,17.05243989878334,0.4024453036693422,10.664800547237569,14.0,210.49321486082255,Bronx,Local
BX11,W,5.6120657759772286,4.632875136869297,1185.247853854527,863.9584433740221,12.956818572177449,0.3563750105284075,9.443937779002798,14.0,210.49321486082255,Bronx,Local
BX12+,E,6.911370856596252,2.3150255328477285,2432.80067842834,1397.2381206645814,26.67904361112171,1.4468909580298304,7.089765694346169,15.0,97.49956979095764,Bronx,SBS
BX16,E,7.063329792845392,4.955170015628082,1096.8906202484222,548.210473866293,0.0918523785880925,0.9910340031256164,7.645119452683327,23.0,151.16445813323318,Bronx,Local
BX17,S,5.676481881121917,5.989625389816296,908.2354951158744,258.9001054663627,18.60258148014665,0.5284963579249673,11.62691987434928,14.0,113.15690218934223,Bronx,Local
BX19,N,6.792780183915271,5.741389967593637,943.8345634195696,349.9630258111964,20.64016007137085,0.1472151273741958,9.12733789720014,4.0,33.40898351238596,Bronx,Local
BX19,S,6.772906740745573,5.905883770606405,916.9464303970956,362.29572679573255,20.811766571474628,0.1476470942651601,9.449414032970248,4.0,33.40898351238596,Bronx,Local
BX2,S,7.7632908962588925,5.925322213826519,910.8876985203732,240.69436160060388,5.759034355747662,0.7728681148469372,7.213435738571414,19.0,129.64524414310105,Bronx,Local
BX20,N,3.283038935872064,5.787320945967729,963.024754522472,438.5270685137624,0.0,1.5229791963072972,7.919491820797946,10.0,149.29086645432096,Bronx,Local
BX22,S,6.751298616994285,5.628546766446809,963.4266961461722,460.7426060070479,13.079852401412827,0.1481196517486002,10.812734577647818,10.0,130.2530836350918,Bronx,Local
BX23,S,6.500298772138949,3.69213798339037,1492.2270854997478,1532.3824827562191,0.7594611438272183,1.3845517437713888,3.845977066031636,30.0,223.01047402107295,Bronx,Local
BX24,E,4.765849548522674,5.245654472611194,1048.4723595462417,328.0071973168858,0.1333603509264542,2.308087967948925,4.406349756993403,16.0,220.5091342958642,Bronx,Local
BX24,W,3.8512205558983807,5.193158820615654,1070.2329087521357,332.77659058432255,1.405882989711098,1.2982897051539135,5.193158820615654,16.0,220.5091342958642,Bronx,Local
BX25,E,6.707872929606568,5.068670852414937,1073.2575796364006,674.4111681654971,0.09324278294584,0.8944713268967536,7.603006278622405,21.0,171.31495364148077,Bronx,Local
BX25,W,7.19304488239017,4.865811429271922,1117.0256829571113,695.4892262503033,0.0869503949725653,1.390231836934835,7.646275103141592,21.0,171.31495364148077,Bronx,Local
BX26,E,5.655561460189912,5.304513125915638,1029.6910255674752,640.6921535680553,0.1105922262130347,0.5304513125915639,7.956769688873457,19.0,170.25478309560106,Bronx,Local
BX27,N,3.492628291717426,6.012663886907271,922.0523665908224,227.39423461508443,0.3820818592432249,0.5726346558959305,6.298981214855236,10.0,200.2992280894225,Bronx,Local
BX27,S,3.5900121304689145,6.128112998082388,902.6255614509246,229.24167766482964,0.1758198913565035,0.5571011816438535,6.963764770548168,10.0,200.2992280894225,Bronx,Local
BX29,E,3.8022280668067,3.156044242784783,1813.4416516141744,1742.271645934233,1.138255953448404,0.2630036868987319,2.893040555886051,2.0,45.79635959377209,Bronx,Local
BX3,N,4.390423561054109,5.694211424557333,965.8877816621462,583.3334274757067,53.63195009935357,0.2277684569822933,7.744127537397974,11.0,133.76303042267884,Bronx,Local
BX3,S,4.386380967187514,5.699459346329794,965.0038127812531,458.2950331033298,51.27866714880041,0.2279783738531917,8.435199832568095,11.0,133.76303042267884,Bronx,Local
BX30,W,6.73251390035535,5.495718322697721,984.8648660566791,531.2132767010555,0.0977701721755936,0.8911975658428738,9.060508586069217,24.0,173.93381969264743,Bronx,Local
BX32,N,5.112619576448825,6.063427864416287,899.8161585227195,254.90764753967463,0.484991254313538,0.3911888944784701,10.170911256440222,13.0,138.14694152126273,Bronx,Local
BX32,S,5.364434213973397,5.7788014100817024,944.1300619527344,275.01992710623784,0.4623856472108592,0.372825897424626,9.507060384327962,13.0,138.14694152126273,Bronx,Local
BX33,E,3.088509710924072,5.180492048772887,1087.1422526220344,431.5085030429164,0.0,1.2951230121932218,7.446957320111025,8.0,122.94214279816345,Bronx,Local
